ID,Paragraph A,Paragraph B,,,,,,,,,,Multi hop question
nnp,"Nasser Peyghambarian received his Ph.D in solid-state Physics from Indiana University in 1982, specializing in optical properties of semiconductors. He joined the University of Arizona in 1982 where he is currently a Professor at both the College of Optical Sciences and the Department of Materials Science & Engineering. He is an adjunct professor at the Electrical Center for Integrated Access Networks, 2008-present. He was also the Director of an NSF IUCRC on Optoelectronic Devices, Integration and Packaging, 1991-2002. He is also Chair of Photonics and Lasers at the University of Arizona as well as Director of the Photonics Initiative. He has over 500 publications in refereed journals and more than 25 patents. His research interests include optical networks and optical communication, fiber optics, fiber lasers and amplifiers, organic photonics, 3D holographic display and 3D telepresence, nonlinear photonics, optical modulators and switches, laser spectroscopy, nanostructures, and quantum dots. He is the Founder of TIPD, LLC, and NP Photonics, Inc. He is the recipient of the U of A 2007 Technology Innovation Award, International Francqui Chair, Belgium 1998-1999, TRW Young Faculty Award, and 3M Company's Young Faculty Award. He is a Fellow of the American Association for the Advancement of Science, the Optical Society of America (OSA), the Society for optical engineers (SPIE), and the American Physical Society (APS). ","Nasser Peyghambarian received his Ph.D in solid-state Physics from Indiana University in 1982, specializing in optical properties of semiconductors. He joined the University of Arizona in 1982 where he is currently a Professor at both the College of Optical Sciences and the Department of Materials Science & Engineering. He is an adjunct professor at the Electrical Center for Integrated Access Networks, 2008-present. He was also the Director of an NSF IUCRC on Optoelectronic Devices, Integration and Packaging, 1991-2002. He is also Chair of Photonics and Lasers at the University of Arizona as well as Director of the Photonics Initiative. He has over 500 publications in refereed journals and more than 25 patents. His research interests include optical networks and optical communication, fiber optics, fiber lasers and amplifiers, organic photonics, 3D holographic display and 3D telepresence, nonlinear photonics, optical modulators and switches, laser spectroscopy, nanostructures, and quantum dots. He is the Founder of TIPD, LLC, and NP Photonics, Inc. He is the recipient of the U of A 2007 Technology Innovation Award, International Francqui Chair, Belgium 1998-1999, TRW Young Faculty Award, and 3M Company's Young Faculty Award. He is a Fellow of the American Association for the Advancement of Science, the Optical Society of America (OSA), the Society for optical engineers (SPIE), and the American Physical Society (APS). ",,,,,,,,,,Who received his solid-state Physics from Indiana University in 1982 and specialized in optical properties of semiconductors ? 
,,,,,,,,,,,,Whos is currently a Professor at both the College of Optical Sciences and the Department of Materials Science & Engineering ? 
,,,,,,,,,,,,"Who is an adjunct professor at the Electrical Center for Integrated Access Networks and also the Director of an NSF IUCRC on Optoelectronic Devices, Integration and Packaging ? "
,,,,,,,,,,,,Who is the Chair of Photonics and Lasers at the University of Arizona as well as Director of the Photonics Initiative ? 
,,,,,,,,,,,, What is founded by the Professor who is the recipient of the U of A 2007 Technology Innovation Award ? 
,,,,,,,,,,,,"Who is a Fellow of the American Association for the Advancement of Science, the OSA, ,SPIE and APS and also has a Ph.D in solid-state Physics from Indiana University in 1982 ? "
grieke,"Rieke has made contributions in:
1.) the starburst phenomenon, where a galaxy's properties are dominated by a very violent and short episode of star formation;
2.) the Galactic Center, the ""local"" prototype for active galactic nuclei;
3.) the origin of the infrared outputs of other active galactic nuclei;
4.) characterizing planetary debris disks, signposts for other planetary systems that cannot be detected in other ways;
5.) studying members of our own planetary system, among other topics. He was the Principal Investigator for the Multiband Infrared Photometer for Spitzer (MIPS).
He and his wife Marcia (NIRCam PI) talk a lot about the Webb telescope. In addition, they enjoy travel and photography. Every year they assemble a calendar of travel pictures taken in the previous year and distribute it to their friends on the Webb telescope project.","Rieke has made contributions in:
1.) the starburst phenomenon, where a galaxy's properties are dominated by a very violent and short episode of star formation;
2.) the Galactic Center, the ""local"" prototype for active galactic nuclei;
3.) the origin of the infrared outputs of other active galactic nuclei;
4.) characterizing planetary debris disks, signposts for other planetary systems that cannot be detected in other ways;
5.) studying members of our own planetary system, among other topics. He was the Principal Investigator for the Multiband Infrared Photometer for Spitzer (MIPS).
He and his wife Marcia (NIRCam PI) talk a lot about the Webb telescope. In addition, they enjoy travel and photography. Every year they assemble a calendar of travel pictures taken in the previous year and distribute it to their friends on the Webb telescope project.",,,,,,,,,,Who has contribution in both the starburst phenomenon and the Galactic Center ? 
,,,,,,,,,,,,"Which researcher worked in the origin of the infrared outputs and involved in characterizing planetary debris disks, signposts for other planetary systems ? "
,,,,,,,,,,,,Who was the Principal Investigator for MIPS an also the studying members of the planetary system ? 
,,,,,,,,,,,,What is the name of the wife of a researcher who has contributions in the Galactic center ? 
kjohns,"My primary interest is searching for Beyond the Standard Model particles using the ATLAS experiment at the CERN Large Hadron Collider (LHC). We are searching for new physics decaying into four-top quarks and new long-lived particles that decay in the Muon Spectrometer. By 2021, we will have finished our ATLAS Phase 1 deliverables: 4500 front-end boards for Micromegas detectors in the New Small Wheel and firmware for the Liquid Argon (LAr) trigger system electronics. We have started developing firmware for the LAr calorimeter readout and for the Hardware Track Trigger (HTT) as part of our Phase 2 responsibilities. We are all anxious to begin collecting data again at ATLAS in 2022. There are many research opportunities for students. If you are an undergraduate or graduate student with interest in doing physics research or electronics with ATLAS, please come talk with me.","My primary interest is searching for Beyond the Standard Model particles using the ATLAS experiment at the CERN Large Hadron Collider (LHC). We are searching for new physics decaying into four-top quarks and new long-lived particles that decay in the Muon Spectrometer. By 2021, we will have finished our ATLAS Phase 1 deliverables: 4500 front-end boards for Micromegas detectors in the New Small Wheel and firmware for the Liquid Argon (LAr) trigger system electronics. We have started developing firmware for the LAr calorimeter readout and for the Hardware Track Trigger (HTT) as part of our Phase 2 responsibilities. We are all anxious to begin collecting data again at ATLAS in 2022. There are many research opportunities for students. If you are an undergraduate or graduate student with interest in doing physics research or electronics with ATLAS, please come talk with me.",,,,,,,,,,Whose primary interest is searching for Beyond the Standard Model particles using the ATLAS experiment and also involved in searching for new physics decaying into four-top quarks ? 
,,,,,,,,,,,,Which researcher is being involved in searching for new physics decaying into four-top quarks and also new long-lived particles that decay ? 
,,,,,,,,,,,,Who have started developing firmware for the LAr calorimeter readout and for the Hardware Track Trigger (HTT) and his primary interest is searching for Beyond the Standard Model particles.  
jvm2,"Mathematical modeling and simulation of photonics systems including semiconductor lasers, fiber lasers, photonic Bragg and photonic crystal fibers. Fndamental theory of semiconductor lasers including microscopic physics. Modeling high-power femtosecond atmospheric light strings.
Nonlinear theory of partial differential equations and chaos synchronization in extended complex spatiotemporal interacting systems systems.
Sophisticated algorithm development for large scale computational photonics systems simulations including adaptive mesh refinement and parallelization on distributed and shared memory supercomputer platforms","Mathematical modeling and simulation of photonics systems including semiconductor lasers, fiber lasers, photonic Bragg and photonic crystal fibers. Fndamental theory of semiconductor lasers including microscopic physics. Modeling high-power femtosecond atmospheric light strings.
Nonlinear theory of partial differential equations and chaos synchronization in extended complex spatiotemporal interacting systems systems.
Sophisticated algorithm development for large scale computational photonics systems simulations including adaptive mesh refinement and parallelization on distributed and shared memory supercomputer platforms",,,,,,,,,,Which professor has research interest in both both Mathematical modeling and simulation of photonics systems ? 
,,,,,,,,,,,,Who has been working in both Nonlinear theory of partial differential equations and chaos synchronization in extended complex spatiotemporal interacting systems systems.? 
,,,,,,,,,,,,Which researcher has been involved in Sophisticated algorithm development for large scale computational photonics systems simulations including adaptive mesh refinement and parallelization on distributed and shared memory supercomputer platforms ? 
gerba,"He obtained his Ph.D. in Microbiology from the University of Miami, Florida and was a faculty member in the Department of Virology and Epidemiology at Baylor College of Medicine from 1974 to 1981. He conducts research the transmission of pathogens through the environment. His recent research encompasses the transmission of pathogens by water, food and fomites; fate of pathogens in land applied wastes; development of new disinfectants; domestic microbiology and microbial risk assessment. He has been an author on more than 500 articles including several books in environmental microbiology, risk assessment, and pollution science. He is a fellow of the American Academy of Microbiology, American Association for the Advancement of Science, and the International Water Association. He is editor-in-chief of the Journal of Water and Health sponsored by the World Health Organization. He has served on the Science Advisory Board of the United States Environmental Protection Agency for nine years, and is currently a member of the Food Advisory Board of the U. S. Food and Drug Administration. In 1998 he received the A. P. Black Award from the American Water Works Association for outstanding contributions to water science and in 1996 he received the McKee medal from the Water Environment Federation for outstanding contributions to groundwater protection. He received the 1999 Award of Excellence in Environmental Health from National Association of County and City Health Officials.","He obtained his Ph.D. in Microbiology from the University of Miami, Florida and was a faculty member in the Department of Virology and Epidemiology at Baylor College of Medicine from 1974 to 1981. He conducts research the transmission of pathogens through the environment. His recent research encompasses the transmission of pathogens by water, food and fomites; fate of pathogens in land applied wastes; development of new disinfectants; domestic microbiology and microbial risk assessment. He has been an author on more than 500 articles including several books in environmental microbiology, risk assessment, and pollution science. He is a fellow of the American Academy of Microbiology, American Association for the Advancement of Science, and the International Water Association. He is editor-in-chief of the Journal of Water and Health sponsored by the World Health Organization. He has served on the Science Advisory Board of the United States Environmental Protection Agency for nine years, and is currently a member of the Food Advisory Board of the U. S. Food and Drug Administration. In 1998 he received the A. P. Black Award from the American Water Works Association for outstanding contributions to water science and in 1996 he received the McKee medal from the Water Environment Federation for outstanding contributions to groundwater protection. He received the 1999 Award of Excellence in Environmental Health from National Association of County and City Health Officials.",,,,,,,,,,Who conducts research the transmission of pathogens through the enviromnemnt and also obtained his Ph.D in Microbiology from the University of Miami ? 
,,,,,,,,,,,,Which professor has research interest in both domestic microbiology and microbial risk assessment ?  
,,,,,,,,,,,,Who is the fellow of the American Academy of Microbiology and also an editor-in-chief of the the Journal of Water and Health sponsored by WHO ? 
,,,,,,,,,,,,Who is the Award of Excellence winning researcher in Environmental Health from Ntional Association of County and City Health Officials who conducts research in the field of fate of pathogens in land applied wastes ? 
,,,,,,,,,,,,In which year a enviromental scientis won the Award of Excellence Who also received teh A.P. Black Award from the American Water Work Association ? 
,,,,,,,,,,,,Which award has been won by a researcher in 1996 who also woked as a faculty member in the Department of Virology and Epidemiology at Baylor College from 1974 to 1981 ? 
xfan,"Dr. Fan is an observational cosmologist. The research of his group aims at answering questions such as: When did the first luminous objects appear in the Universe? How did the first generations of galaxies and quasars heat up the intergalactic gas, re-ionize the Universe and end the cosmic dark ages? He has pioneered techniques to search for the most distant quasars in the early universe, at z>6. Using these quasars, he has shown that supermassive black holes with masses up to 10 million solar masses existed within one billion years after the big bang. Meanwhile, the absorption spectra of these quasars reveal a rapid increase in cold atomic gas in the intergalactic medium, marking the end of reionziation epoch at z~6. His group is currently involved in conducting new surveys of quasars at z>7 using new near-IR large sky surveys, and studies of the co-evolution of black holes and galaxies in the early universe with facilities such as ALMA and HST. He is also involved in studying spectroscopic properties of the first generation galaxies that are responsible to reionization, using LBT, HST, and soon with JWST. In addition, he is working on a project called ""MAMMOTH"", a novel survey of the most massive large scale structure and protocluster environments at the peak of cosmic star formation.","Dr. Fan is an observational cosmologist. The research of his group aims at answering questions such as: When did the first luminous objects appear in the Universe? How did the first generations of galaxies and quasars heat up the intergalactic gas, re-ionize the Universe and end the cosmic dark ages? He has pioneered techniques to search for the most distant quasars in the early universe, at z>6. Using these quasars, he has shown that supermassive black holes with masses up to 10 million solar masses existed within one billion years after the big bang. Meanwhile, the absorption spectra of these quasars reveal a rapid increase in cold atomic gas in the intergalactic medium, marking the end of reionziation epoch at z~6. His group is currently involved in conducting new surveys of quasars at z>7 using new near-IR large sky surveys, and studies of the co-evolution of black holes and galaxies in the early universe with facilities such as ALMA and HST. He is also involved in studying spectroscopic properties of the first generation galaxies that are responsible to reionization, using LBT, HST, and soon with JWST. In addition, he is working on a project called ""MAMMOTH"", a novel survey of the most massive large scale structure and protocluster environments at the peak of cosmic star formation.",,,,,,,,,,Which observational cosmologist has pioneered techniques to search for the most distant quasars in the early universe ? 
,,,,,,,,,,,,Who is the leader of a research group in observational cosmology who has shown that supermassive black holes with masses up to 10 million solar masses existed within one billion years after the big bang
,,,,,,,,,,,,Whose  group is currently involved in conducting new surveys of quasars at z>7 using new near-IR large sky surveys and also studies of the co-evolution of black holes ? 
,,,,,,,,,,,,Which researcher is involved in studying spectroscopic properties of the first generation galaxies and currently working on a project called MAMMOTH ? 
Dr. Szivek's,"Orthopaedic research in my laboratory is focused on developing cartilage and bone regenerative techniques with tissue engineering approaches using synthetic scaffolds and adult stem cells extracted from fat tissue. The range of research projects related to this work includes biomaterials studies to develop a variety of scaffolds prepared on a 3D printing system from microCT images of bone tissue, biomechanics studies to evaluate strength and stiffness characteristics of implantable scaffolds, computer based finite element modeling of scaffolds and tissues, software development for implantable transmitters, physiological test development to test scaffolds under physiological loading conditions, cell studies involving development of extraction, sorting , conversion and cell alignment techniques. The overall goal of all these projects is development of clinically viable tissue engineering techniques that include monitoring of healing using sensors and implantable transmitters. My involvement in the Orthopaedic residency program includes instructing residents in orthopedic biomaterials and biomechanics, providing laboratory support for students and surgical faculty to carry out bench top research projects, participating in radiology teaching conference to provide biomaterials and biomechanics expertise applied to surgical procedures. Student opportunities include learning about implant development and design, biomaterials and biomechanics research in orthopedics as well as tissue engineering strategies to regenerate bone and cartilage. Student research opportunities Dr. Szivek's involvement includes instructing residents in orthopedic biomaterials and biomechanics, to provide laboratory support for students and surgical faculty to carry out bench top research projects, participate in radiology teaching conference to provide biomaterials and biomechanics expertise applied to surgical procedures. Student opportunities include learning about implant development and design, biomaterials and biomechanics research in orthopedics. MSRP-sponsored research Michael Dersam (MSRP 1992): ""Biomechanics of bone allograft."" Robert Kersey (AHA FELLOWSHIP 1992): ""Strain redistribution near proximally hydroxyapatite coated hip implants."" Joel Thompson (MSRP 1993): ""Cancellous screw pullout in osteoporotic and osteoarthritic bone."" Deborah Wilson (MSRP 1993): ""Model for assessing blood flow vs. strain factors in bone loss in space: Hydroxyapatite strain gauge bonding to rodent femora."" David Amstutz (MSRP 1996): ""Feedback transmitter for orthopedic knee implants."" Tony Matthews (MSRP 1996): ""Analysis of contact pressures of the patellofemoral joint to determine the merits of patellar resurfacing versus the native patellae in total knee arthroplasty."" Anthony Admire (MSRP 1998): ""Material and mechanical aspects of knee implant wear."" Harvinder Maan (MSRP 1998): ""Development of a knee telemetry data capture and feedback system."" Chad Fleming (MSRP 1999): ""Precision laser measurement of polyethylene inserts removed from post-arthroplasty knees."" Andrew Price (MSRP 1999): ""Monitoring spinal fusion in scoliosis patients."" Jennifer Slack (MSRP 1999): ""Assessing spine fusion using calcium phosphate coated strain gauges."" Benjamin Muir (MSRP 2001): ""Testing of a synthetic bone graft to measure loading changes during fusion."" Murat Dag (MSRP 2002): ""Calibration of sensate scaffolds."" Jason Davis (MSRP 2004, 2006): ""Characterizing native and engineered Hyaline cartilage using OCT."" Patrick Finkbone (MSRP 2004): ""Failure strength of three suture materials following cyclic abrasion through an eyelet."" Chris Geffre (MSRP 2006, 2007): ""In vivo load monitoring of the canine stifle during gait"" and ""Measurement and characterization of bone ingrowth into polymer scaffolds coated in TGF-ß1 and calcium phosphate ceramic particles."" Paul Manson (MSRP 2007): ""Scanning, production and characterization of human-sized scaffolds for cartilage tissue engineering."" David Margolis (MSRP 2007): ""In vivo strain gauge attachment to mouse femora using commercially available hydroxyapatite."" Jeremy Nielsen (MSRP 2007): ""Developing a mouse model of repetitive impact loading induced osteoarthritis."" Jamie Harris (MSRP 2009): ""Development of a human-sized biomimetic scaffold to be tested in an ankle fusion model."" Nicholas Walter (MSRP 2009): ""Evaluation of adipose derived stem cells collected from an animal model with rheumatoid arthritis and utilized for cartilage tissue regeneration."" Javier Rojas (MSRP 2011): ""Correlating the Level of Load-Bearing Activity on the Medial Condyle of Canines and Cartilage Growth"" Research Distinction Track (advanced research) Patrick Finkbone (Class of 2008): ""Comparison of load measurement accuracy from scaffolds with and without cartilage layers."" Paul Manson (Class of 2010): ""In vivo strain guage attachment to mouse femora."" David Margolis (Class of 2010): ""In vivo strain guage attachment to mouse femora."" Chris Geffre (Class of 2012): ""Real-time strain monitoring in mice during gait."" Mike Montague (Class of 2012): ""Design and production of three scaffold models toward the development of a human scaffold to support tissue engineered cartilage.""

","Orthopaedic research in my laboratory is focused on developing cartilage and bone regenerative techniques with tissue engineering approaches using synthetic scaffolds and adult stem cells extracted from fat tissue. The range of research projects related to this work includes biomaterials studies to develop a variety of scaffolds prepared on a 3D printing system from microCT images of bone tissue, biomechanics studies to evaluate strength and stiffness characteristics of implantable scaffolds, computer based finite element modeling of scaffolds and tissues, software development for implantable transmitters, physiological test development to test scaffolds under physiological loading conditions, cell studies involving development of extraction, sorting , conversion and cell alignment techniques. The overall goal of all these projects is development of clinically viable tissue engineering techniques that include monitoring of healing using sensors and implantable transmitters. My involvement in the Orthopaedic residency program includes instructing residents in orthopedic biomaterials and biomechanics, providing laboratory support for students and surgical faculty to carry out bench top research projects, participating in radiology teaching conference to provide biomaterials and biomechanics expertise applied to surgical procedures. Student opportunities include learning about implant development and design, biomaterials and biomechanics research in orthopedics as well as tissue engineering strategies to regenerate bone and cartilage. Student research opportunities Dr. Szivek's involvement includes instructing residents in orthopedic biomaterials and biomechanics, to provide laboratory support for students and surgical faculty to carry out bench top research projects, participate in radiology teaching conference to provide biomaterials and biomechanics expertise applied to surgical procedures. Student opportunities include learning about implant development and design, biomaterials and biomechanics research in orthopedics. MSRP-sponsored research Michael Dersam (MSRP 1992): ""Biomechanics of bone allograft."" Robert Kersey (AHA FELLOWSHIP 1992): ""Strain redistribution near proximally hydroxyapatite coated hip implants."" Joel Thompson (MSRP 1993): ""Cancellous screw pullout in osteoporotic and osteoarthritic bone."" Deborah Wilson (MSRP 1993): ""Model for assessing blood flow vs. strain factors in bone loss in space: Hydroxyapatite strain gauge bonding to rodent femora."" David Amstutz (MSRP 1996): ""Feedback transmitter for orthopedic knee implants."" Tony Matthews (MSRP 1996): ""Analysis of contact pressures of the patellofemoral joint to determine the merits of patellar resurfacing versus the native patellae in total knee arthroplasty."" Anthony Admire (MSRP 1998): ""Material and mechanical aspects of knee implant wear."" Harvinder Maan (MSRP 1998): ""Development of a knee telemetry data capture and feedback system."" Chad Fleming (MSRP 1999): ""Precision laser measurement of polyethylene inserts removed from post-arthroplasty knees."" Andrew Price (MSRP 1999): ""Monitoring spinal fusion in scoliosis patients."" Jennifer Slack (MSRP 1999): ""Assessing spine fusion using calcium phosphate coated strain gauges."" Benjamin Muir (MSRP 2001): ""Testing of a synthetic bone graft to measure loading changes during fusion."" Murat Dag (MSRP 2002): ""Calibration of sensate scaffolds."" Jason Davis (MSRP 2004, 2006): ""Characterizing native and engineered Hyaline cartilage using OCT."" Patrick Finkbone (MSRP 2004): ""Failure strength of three suture materials following cyclic abrasion through an eyelet."" Chris Geffre (MSRP 2006, 2007): ""In vivo load monitoring of the canine stifle during gait"" and ""Measurement and characterization of bone ingrowth into polymer scaffolds coated in TGF-ß1 and calcium phosphate ceramic particles."" Paul Manson (MSRP 2007): ""Scanning, production and characterization of human-sized scaffolds for cartilage tissue engineering."" David Margolis (MSRP 2007): ""In vivo strain gauge attachment to mouse femora using commercially available hydroxyapatite."" Jeremy Nielsen (MSRP 2007): ""Developing a mouse model of repetitive impact loading induced osteoarthritis."" Jamie Harris (MSRP 2009): ""Development of a human-sized biomimetic scaffold to be tested in an ankle fusion model."" Nicholas Walter (MSRP 2009): ""Evaluation of adipose derived stem cells collected from an animal model with rheumatoid arthritis and utilized for cartilage tissue regeneration."" Javier Rojas (MSRP 2011): ""Correlating the Level of Load-Bearing Activity on the Medial Condyle of Canines and Cartilage Growth"" Research Distinction Track (advanced research) Patrick Finkbone (Class of 2008): ""Comparison of load measurement accuracy from scaffolds with and without cartilage layers."" Paul Manson (Class of 2010): ""In vivo strain guage attachment to mouse femora."" David Margolis (Class of 2010): ""In vivo strain guage attachment to mouse femora."" Chris Geffre (Class of 2012): ""Real-time strain monitoring in mice during gait."" Mike Montague (Class of 2012): ""Design and production of three scaffold models toward the development of a human scaffold to support tissue engineered cartilage.""

",,,,,,,,,,Which professor has been working in both the bone regenerative techniques with tissue enginnering approaches and software development for impalntable transmitters ? 
,,,,,,,,,,,,Whose work includes biomaterials studies to develop a variety of scaffolds prepared on a 3D printing system from microCT images of bone tissue and also have biomechanics studies to evaluate strength and stiffness characteristics of implantable scaffolds
johannr,"Dr. Johann Rafelski, theoretical physicist, formerly a scientist at CERN, and Professor at the Universities of Frankfurt and Cape Town, has been working for more than 30 years at the University of Arizona (Tucson, USA). For many years, his research has focused on the areas described above. He works in several disciplines of subatomic physics to further the understanding of the nature of the quantum vacuum. Among other things, he investigates the behavior of matter under extreme temperature conditions and the effects of the strongest forces. Under such conditions, the quantum vacuum is drastically changed and can be experimentally investigated.
","Dr. Johann Rafelski, theoretical physicist, formerly a scientist at CERN, and Professor at the Universities of Frankfurt and Cape Town, has been working for more than 30 years at the University of Arizona (Tucson, USA). For many years, his research has focused on the areas described above. He works in several disciplines of subatomic physics to further the understanding of the nature of the quantum vacuum. Among other things, he investigates the behavior of matter under extreme temperature conditions and the effects of the strongest forces. Under such conditions, the quantum vacuum is drastically changed and can be experimentally investigated.
",,,,,,,,,,Which formerly scientist at CERN has been working for more than 30 years at the University of Arizona ? 
,,,,,,,,,,,,Which researcher has focused on subatomic physics as well as to the further understadning of the nature of the quantum vaccum ? 
,,,,,,,,,,,,Which scientist investigated the behavior of matter under extreme temperature conditions and the effects of teh stronges forces and also was a Professor at the University of Frankfurt and Cape Town ? 
