ID,titleA,ParagraphA,titleB,ParagraphB
gerba,gerba's biography,"He obtained his Ph.D. in Microbiology from the University of Miami, Florida and was a faculty member in the Department of Virology and Epidemiology at Baylor College of Medicine from 1974 to 1981. He conducts research the transmission of pathogens through the environment. His recent research encompasses the transmission of pathogens by water, food and fomites; fate of pathogens in land applied wastes; development of new disinfectants; domestic microbiology and microbial risk assessment. He has been an author on more than 500 articles including several books in environmental microbiology, risk assessment, and pollution science. He is a fellow of the American Academy of Microbiology, American Association for the Advancement of Science, and the International Water Association. He is editor-in-chief of the Journal of Water and Health sponsored by the World Health Organization. He has served on the Science Advisory Board of the United States Environmental Protection Agency for nine years, and is currently a member of the Food Advisory Board of the U. S. Food and Drug Administration. In 1998 he received the A. P. Black Award from the American Water Works Association for outstanding contributions to water science and in 1996 he received the McKee medal from the Water Environment Federation for outstanding contributions to groundwater protection. He received the 1999 Award of Excellence in Environmental Health from National Association of County and City Health Officials.",gerba's articles,"He obtained his Ph.D. in Microbiology from the University of Miami, Florida and was a faculty member in the Department of Virology and Epidemiology at Baylor College of Medicine from 1974 to 1981. He conducts research the transmission of pathogens through the environment. His recent research encompasses the transmission of pathogens by water, food and fomites; fate of pathogens in land applied wastes; development of new disinfectants; domestic microbiology and microbial risk assessment. He has been an author on more than 500 articles including several books in environmental microbiology, risk assessment, and pollution science. He is a fellow of the American Academy of Microbiology, American Association for the Advancement of Science, and the International Water Association. He is editor-in-chief of the Journal of Water and Health sponsored by the World Health Organization. He has served on the Science Advisory Board of the United States Environmental Protection Agency for nine years, and is currently a member of the Food Advisory Board of the U. S. Food and Drug Administration. In 1998 he received the A. P. Black Award from the American Water Works Association for outstanding contributions to water science and in 1996 he received the McKee medal from the Water Environment Federation for outstanding contributions to groundwater protection. He received the 1999 Award of Excellence in Environmental Health from National Association of County and City Health Officials."
xfan,xfan's biography,"Dr. Fan is an observational cosmologist. The research of his group aims at answering questions such as: When did the first luminous objects appear in the Universe? How did the first generations of galaxies and quasars heat up the intergalactic gas, re-ionize the Universe and end the cosmic dark ages? He has pioneered techniques to search for the most distant quasars in the early universe, at z>6. Using these quasars, he has shown that supermassive black holes with masses up to 10 million solar masses existed within one billion years after the big bang. Meanwhile, the absorption spectra of these quasars reveal a rapid increase in cold atomic gas in the intergalactic medium, marking the end of reionziation epoch at z~6. His group is currently involved in conducting new surveys of quasars at z>7 using new near-IR large sky surveys, and studies of the co-evolution of black holes and galaxies in the early universe with facilities such as ALMA and HST. He is also involved in studying spectroscopic properties of the first generation galaxies that are responsible to reionization, using LBT, HST, and soon with JWST. In addition, he is working on a project called ""MAMMOTH"", a novel survey of the most massive large scale structure and protocluster environments at the peak of cosmic star formation.",xfan's articles,"Dr. Fan is an observational cosmologist. The research of his group aims at answering questions such as: When did the first luminous objects appear in the Universe? How did the first generations of galaxies and quasars heat up the intergalactic gas, re-ionize the Universe and end the cosmic dark ages? He has pioneered techniques to search for the most distant quasars in the early universe, at z>6. Using these quasars, he has shown that supermassive black holes with masses up to 10 million solar masses existed within one billion years after the big bang. Meanwhile, the absorption spectra of these quasars reveal a rapid increase in cold atomic gas in the intergalactic medium, marking the end of reionziation epoch at z~6. His group is currently involved in conducting new surveys of quasars at z>7 using new near-IR large sky surveys, and studies of the co-evolution of black holes and galaxies in the early universe with facilities such as ALMA and HST. He is also involved in studying spectroscopic properties of the first generation galaxies that are responsible to reionization, using LBT, HST, and soon with JWST. In addition, he is working on a project called ""MAMMOTH"", a novel survey of the most massive large scale structure and protocluster environments at the peak of cosmic star formation."
Dr. Szivek's,Dr. Szivek's's biography,"Orthopaedic research in my laboratory is focused on developing cartilage and bone regenerative techniques with tissue engineering approaches using synthetic scaffolds and adult stem cells extracted from fat tissue. The range of research projects related to this work includes biomaterials studies to develop a variety of scaffolds prepared on a 3D printing system from microCT images of bone tissue, biomechanics studies to evaluate strength and stiffness characteristics of implantable scaffolds, computer based finite element modeling of scaffolds and tissues, software development for implantable transmitters, physiological test development to test scaffolds under physiological loading conditions, cell studies involving development of extraction, sorting , conversion and cell alignment techniques. The overall goal of all these projects is development of clinically viable tissue engineering techniques that include monitoring of healing using sensors and implantable transmitters. My involvement in the Orthopaedic residency program includes instructing residents in orthopedic biomaterials and biomechanics, providing laboratory support for students and surgical faculty to carry out bench top research projects, participating in radiology teaching conference to provide biomaterials and biomechanics expertise applied to surgical procedures. Student opportunities include learning about implant development and design, biomaterials and biomechanics research in orthopedics as well as tissue engineering strategies to regenerate bone and cartilage. ",Dr. Szivek's's articles,"Orthopaedic research in my laboratory is focused on developing cartilage and bone regenerative techniques with tissue engineering approaches using synthetic scaffolds and adult stem cells extracted from fat tissue. The range of research projects related to this work includes biomaterials studies to develop a variety of scaffolds prepared on a 3D printing system from microCT images of bone tissue, biomechanics studies to evaluate strength and stiffness characteristics of implantable scaffolds, computer based finite element modeling of scaffolds and tissues, software development for implantable transmitters, physiological test development to test scaffolds under physiological loading conditions, cell studies involving development of extraction, sorting , conversion and cell alignment techniques. The overall goal of all these projects is development of clinically viable tissue engineering techniques that include monitoring of healing using sensors and implantable transmitters. My involvement in the Orthopaedic residency program includes instructing residents in orthopedic biomaterials and biomechanics, providing laboratory support for students and surgical faculty to carry out bench top research projects, participating in radiology teaching conference to provide biomaterials and biomechanics expertise applied to surgical procedures. Student opportunities include learning about implant development and design, biomaterials and biomechanics research in orthopedics as well as tissue engineering strategies to regenerate bone and cartilage. "
johannr,johannr's biography,"Dr. Johann Rafelski, theoretical physicist, formerly a scientist at CERN, and Professor at the Universities of Frankfurt and Cape Town, has been working for more than 30 years at the University of Arizona (Tucson, USA). For many years, his research has focused on the areas described above. He works in several disciplines of subatomic physics to further the understanding of the nature of the quantum vacuum. Among other things, he investigates the behavior of matter under extreme temperature conditions and the effects of the strongest forces. Under such conditions, the quantum vacuum is drastically changed and can be experimentally investigated.
",johannr's articles,"Dr. Johann Rafelski, theoretical physicist, formerly a scientist at CERN, and Professor at the Universities of Frankfurt and Cape Town, has been working for more than 30 years at the University of Arizona (Tucson, USA). For many years, his research has focused on the areas described above. He works in several disciplines of subatomic physics to further the understanding of the nature of the quantum vacuum. Among other things, he investigates the behavior of matter under extreme temperature conditions and the effects of the strongest forces. Under such conditions, the quantum vacuum is drastically changed and can be experimentally investigated.
"
hsinchun,hsinchun's biography,"Dr. Hsinchun Chen graduated with a BS degree from the National Chiao-Tong University (Taiwan), MBA from SUNY Buffalo, and an MS and Ph.D. from New York University. He is the University of Arizona Regents' Professor and Thomas R. Brown Chair professor in Management and Technology. He is also a Fellow of ACM, IEEE and AAAS. Dr. Chen served as the lead program director of the Smart and Connected (SCH) Program at the NSF for 2014-2015, a multi-year multi-agency health IT research program of in the U.S. He is author/editor of 20 books, 300 SCI journal articles, and 200 refereed conference articles covering digital library, data/text/web mining, business analytics, security informatics and health informatics. His overall h-index is 97 (35,000 citations for 900 papers according to Google Scholar), among the highest in MIS and top 50 in computer science. Dr. Chen founded the Artificial Intelligence Lab at The University of Arizona in 1989, which has received $50M+ research funding from NSF, NIH, NLM, DOD, DOJ, CIA, DHS and other agencies (100+ grants, 50+ from NSF). He has served as Editor-in-Chief, Senior Editor or AE of major ACM/IEEE (ACM TMIS, ACM TOIS, IEEE IS, IEEE SMC), MIS (MISQ, DSS) and Springer (JASIST) journals and conference/program chair of major ACM/IEEE/MIS conferences in digital library (ACM/IEEE JCDL, ICADL), information systems (ICIS), security informatics (IEEE ISI) and health informatics (ICSH). He is also a successful IT entrepreneur. ",hsinchun's articles,"Dr. Hsinchun Chen graduated with a BS degree from the National Chiao-Tong University (Taiwan), MBA from SUNY Buffalo, and an MS and Ph.D. from New York University. He is the University of Arizona Regents' Professor and Thomas R. Brown Chair professor in Management and Technology. He is also a Fellow of ACM, IEEE and AAAS. Dr. Chen served as the lead program director of the Smart and Connected (SCH) Program at the NSF for 2014-2015, a multi-year multi-agency health IT research program of in the U.S. He is author/editor of 20 books, 300 SCI journal articles, and 200 refereed conference articles covering digital library, data/text/web mining, business analytics, security informatics and health informatics. His overall h-index is 97 (35,000 citations for 900 papers according to Google Scholar), among the highest in MIS and top 50 in computer science. Dr. Chen founded the Artificial Intelligence Lab at The University of Arizona in 1989, which has received $50M+ research funding from NSF, NIH, NLM, DOD, DOJ, CIA, DHS and other agencies (100+ grants, 50+ from NSF). He has served as Editor-in-Chief, Senior Editor or AE of major ACM/IEEE (ACM TMIS, ACM TOIS, IEEE IS, IEEE SMC), MIS (MISQ, DSS) and Springer (JASIST) journals and conference/program chair of major ACM/IEEE/MIS conferences in digital library (ACM/IEEE JCDL, ICADL), information systems (ICIS), security informatics (IEEE ISI) and health informatics (ICSH). He is also a successful IT entrepreneur. "
kobourov,kobourov's biography,"My IEEE VISSOFT'19 Keynote talk Algorithms and Metaphors for Graph Visualization
In 2019 am co-chairing the The 21st ACM-SIAM Meeting on Algorithm Engineering and Experiments (ALENEX) and serve on the PC of the 35th Symposium on Computational Geometry (SoCG) and the 12th IEEE Pacific Visualization Symposium (PacificVis).
In 2018 I served on the PC of the 23rd IEEE Information Visualization Symposium (INFOVIS), the 20th IEEE Eurographics Conference on Visualization (EUROVIS), the 11th IEEE Pacific Visualization Symposium (PacificVis), and the IEEE Conference on Software Visualization (VISSOFT).
I organized the 2018 University of Arizona Science Lecture Series titled ""Humans, Data and Machines"" and gave the first talk about ""Problem Solving with Algorithms.""
I am a co-PI of the UA-TRIPODS (Transdisciplinary Research in Principles of Data Science) NSF Center, one of 12 including MIT, Columbia, and UC Berkeley. Our research groups are studying the theory of large scale networks, data visualization and interpretation, natural language processing, and Bayesian methods for big data.
In 2015-16 I worked at Charles University in Prague as a Distinguished Fulbright Chair. In 2011-12 I worked in Germany as a Humboldt Fellow and in 2006-07 I was in Botswana as a Fulbright Scholar.",kobourov's articles,"My IEEE VISSOFT'19 Keynote talk Algorithms and Metaphors for Graph Visualization
In 2019 am co-chairing the The 21st ACM-SIAM Meeting on Algorithm Engineering and Experiments (ALENEX) and serve on the PC of the 35th Symposium on Computational Geometry (SoCG) and the 12th IEEE Pacific Visualization Symposium (PacificVis).
In 2018 I served on the PC of the 23rd IEEE Information Visualization Symposium (INFOVIS), the 20th IEEE Eurographics Conference on Visualization (EUROVIS), the 11th IEEE Pacific Visualization Symposium (PacificVis), and the IEEE Conference on Software Visualization (VISSOFT).
I organized the 2018 University of Arizona Science Lecture Series titled ""Humans, Data and Machines"" and gave the first talk about ""Problem Solving with Algorithms.""
I am a co-PI of the UA-TRIPODS (Transdisciplinary Research in Principles of Data Science) NSF Center, one of 12 including MIT, Columbia, and UC Berkeley. Our research groups are studying the theory of large scale networks, data visualization and interpretation, natural language processing, and Bayesian methods for big data.
In 2015-16 I worked at Charles University in Prague as a Distinguished Fulbright Chair. In 2011-12 I worked in Germany as a Humboldt Fellow and in 2006-07 I was in Botswana as a Fulbright Scholar."
mcn1,mcn1's biography,"Dr. Michael Nolan returned to LPL in July as a Senior Research Scientist after twenty years at the `. After graduating with a Ph.D. from LPL in 1995, Mike joined Cornell University as a post-doctoral researcher at the Arecibo Observatory, and stayed at Arecibo in a number of scientific, technical, and management roles, including Observatory Director from 2008 to 2011. His research concentrates on the structure and evolution of asteroids and planetary surfaces using radar imaging and numerical simulation. At LPL, he will be the Asteroid Geophysical Scientist for the OSIRIS-REx project, and will continue remote sensing and modeling research on asteroids.",mcn1's articles,"Dr. Michael Nolan returned to LPL in July as a Senior Research Scientist after twenty years at the `. After graduating with a Ph.D. from LPL in 1995, Mike joined Cornell University as a post-doctoral researcher at the Arecibo Observatory, and stayed at Arecibo in a number of scientific, technical, and management roles, including Observatory Director from 2008 to 2011. His research concentrates on the structure and evolution of asteroids and planetary surfaces using radar imaging and numerical simulation. At LPL, he will be the Asteroid Geophysical Scientist for the OSIRIS-REx project, and will continue remote sensing and modeling research on asteroids."
hariri,hariri's biography,"Autonomic cybersecurity, big data analytics, resilient cloud services, critical infrastructure protections, autonomic programming and resilient Dynamic Data Driven Application Systems (rDDDAS)",hariri's articles,"Autonomic cybersecurity, big data analytics, resilient cloud services, critical infrastructure protections, autonomic programming and resilient Dynamic Data Driven Application Systems (rDDDAS)"
nra,nra's biography,"Regents Professor in Chemistry/Biochemistry/Optical Sciences, 2013
University of Arizona At The Leading Edge Award - Innovation Day, 2011
Elizabeth and Keith Hege Galileo Circle Fellow - College of Science, University of Arizona, 2011
Alexander von Humboldt Sr. Research Prize - Inst Appl Photophys,Tech Univ Dresden/Max Planck Inst. f, 2002
National Science Foundation - Special Award for Creativity, 2000",nra's articles,"Regents Professor in Chemistry/Biochemistry/Optical Sciences, 2013
University of Arizona At The Leading Edge Award - Innovation Day, 2011
Elizabeth and Keith Hege Galileo Circle Fellow - College of Science, University of Arizona, 2011
Alexander von Humboldt Sr. Research Prize - Inst Appl Photophys,Tech Univ Dresden/Max Planck Inst. f, 2002
National Science Foundation - Special Award for Creativity, 2000"
jkbrown,jkbrown's biography,"Emerging plant DNA virus-vector complexes - biology, -omics discovery, phylodynamics & the agricultural-wild host plants interface
•Phylogeography, gene flow, and evolution of the Bemisia tabaci cryptic species group
•Biology and functional genomics of begomovirus-whitefly transmission specificity
•Determinants/effectors of psyllid vector-Ca. Liberibacter invasion and propagative transmission; dsRNA biopesticides
•Vampirovibrio chlorellavorus-Chlorella spp. pathogenicity determinants and virus-like elements
•Plant viral partners in the phyomicrobiome & beneficial viruses
•High-throughput sequencing for 'discovery' and molecular diagnostic tool development with applications to lab and field",jkbrown's articles,"Emerging plant DNA virus-vector complexes - biology, -omics discovery, phylodynamics & the agricultural-wild host plants interface
•Phylogeography, gene flow, and evolution of the Bemisia tabaci cryptic species group
•Biology and functional genomics of begomovirus-whitefly transmission specificity
•Determinants/effectors of psyllid vector-Ca. Liberibacter invasion and propagative transmission; dsRNA biopesticides
•Vampirovibrio chlorellavorus-Chlorella spp. pathogenicity determinants and virus-like elements
•Plant viral partners in the phyomicrobiome & beneficial viruses
•High-throughput sequencing for 'discovery' and molecular diagnostic tool development with applications to lab and field"
ludwik,ludwik's biography,"My research has been focused on the development and application of quantum chemical theoretical methods for more accurate determination of the stationary and dynamic quantum states of molecular systems. The methodological development has comprised theory formulation, computational implementation and application calculations. The considerable recent progress in the computational capabilities of both hardware and software opens a unique opportunity to employ new theoretical techniques to larger polyatomic molecules, leading to more reliable predictions of their properties and structures. Development of new theoretical techniques in my group has evolved around the following topics:",ludwik's articles,"My research has been focused on the development and application of quantum chemical theoretical methods for more accurate determination of the stationary and dynamic quantum states of molecular systems. The methodological development has comprised theory formulation, computational implementation and application calculations. The considerable recent progress in the computational capabilities of both hardware and software opens a unique opportunity to employ new theoretical techniques to larger polyatomic molecules, leading to more reliable predictions of their properties and structures. Development of new theoretical techniques in my group has evolved around the following topics:"
iabraham,iabraham's biography,"Ivo Abraham is a professor (part-time) in the Department of Pharmacy Practice. He has also served on the faculty of Case Western Reserve University (Cleveland, Ohio), University of Virginia (Charlottesville, Va.), and (part-time) Katholieke Universiteit Leuven (Leuven, Belgium); and as visiting professor at Universiteit Maastricht (Maastricht, The Netherlands), University of Florida (Gainesville, Fla.), Rijksuniversiteit Groningen (Groningen, The Netherlands), University of Pennsylvania (Philadelphia, Penn.), and Chang Gung University (Kwei-Shan Tao-Yuan, Taiwan). He has lectured, consulted, and conducted research throughout the Americas, Europe, the Asia-Pacific region, and Africa. Being part-time, he divides his time between the University of Arizona and Matrix45, a biopharmaceutical research and consulting company, where he serves as chief scientist.",iabraham's articles,"Ivo Abraham is a professor (part-time) in the Department of Pharmacy Practice. He has also served on the faculty of Case Western Reserve University (Cleveland, Ohio), University of Virginia (Charlottesville, Va.), and (part-time) Katholieke Universiteit Leuven (Leuven, Belgium); and as visiting professor at Universiteit Maastricht (Maastricht, The Netherlands), University of Florida (Gainesville, Fla.), Rijksuniversiteit Groningen (Groningen, The Netherlands), University of Pennsylvania (Philadelphia, Penn.), and Chang Gung University (Kwei-Shan Tao-Yuan, Taiwan). He has lectured, consulted, and conducted research throughout the Americas, Europe, the Asia-Pacific region, and Africa. Being part-time, he divides his time between the University of Arizona and Matrix45, a biopharmaceutical research and consulting company, where he serves as chief scientist."
